epsilon,sequence_index,method,control_sensitivity_rad_s_per_control
0,0,rk4_oracle,0.6877517586190152
0,0,nominal_physics,0.6877517586190152
0,0,calibrated_physics,0.6877517586190152
0,1,rk4_oracle,0.7073539194379919
0,1,nominal_physics,0.7073539194379919
0,1,calibrated_physics,0.7073539194379919
0,2,rk4_oracle,0.6705611468760253
0,2,nominal_physics,0.6705611468760253
0,2,calibrated_physics,0.6705611468760253
0,3,rk4_oracle,0.7473800559409938
0,3,nominal_physics,0.7473800559409938
0,3,calibrated_physics,0.7473800559409938
0,4,rk4_oracle,0.7906157162551608
0,4,nominal_physics,0.7906157162551608
0,4,calibrated_physics,0.7906157162551608
0,5,rk4_oracle,0.7990649010025663
0,5,nominal_physics,0.7990649010025663
0,5,calibrated_physics,0.7990649010025663
0,6,rk4_oracle,0.8343687858314297
0,6,nominal_physics,0.8343687858314297
0,6,calibrated_physics,0.8343687858314297
0,7,rk4_oracle,0.7324810013642491
0,7,nominal_physics,0.7324810013642491
0,7,calibrated_physics,0.7324810013642491
0,8,rk4_oracle,0.662824663208994
0,8,nominal_physics,0.662824663208994
0,8,calibrated_physics,0.662824663208994
0,9,rk4_oracle,0.7077401471633493
0,9,nominal_physics,0.7077401471633493
0,9,calibrated_physics,0.7077401471633493
0,10,rk4_oracle,0.653519260822577
0,10,nominal_physics,0.653519260822577
0,10,calibrated_physics,0.653519260822577
0,11,rk4_oracle,0.917595116902703
0,11,nominal_physics,0.917595116902703
0,11,calibrated_physics,0.917595116902703
0,12,rk4_oracle,0.6422803267014388
0,12,nominal_physics,0.6422803267014388
0,12,calibrated_physics,0.6422803267014388
0,13,rk4_oracle,0.7776192995834208
0,13,nominal_physics,0.7776192995834208
0,13,calibrated_physics,0.7776192995834208
0,14,rk4_oracle,0.6771779135306133
0,14,nominal_physics,0.6771779135306133
0,14,calibrated_physics,0.6771779135306133
0,15,rk4_oracle,0.6803947650269038
0,15,nominal_physics,0.6803947650269038
0,15,calibrated_physics,0.6803947650269038
0,16,rk4_oracle,0.6791986135112893
0,16,nominal_physics,0.6791986135112893
0,16,calibrated_physics,0.6791986135112893
0,17,rk4_oracle,0.6803631526963727
0,17,nominal_physics,0.6803631526963727
0,17,calibrated_physics,0.6803631526963727
0,18,rk4_oracle,0.8516446519024612
0,18,nominal_physics,0.8516446519024612
0,18,calibrated_physics,0.8516446519024612
0,19,rk4_oracle,0.6918034273439844
0,19,nominal_physics,0.6918034273439844
0,19,calibrated_physics,0.6918034273439844
0,20,rk4_oracle,0.8197585174229971
0,20,nominal_physics,0.8197585174229971
0,20,calibrated_physics,0.8197585174229971
0,21,rk4_oracle,0.7856451901488981
0,21,nominal_physics,0.7856451901488981
0,21,calibrated_physics,0.7856451901488981
0,22,rk4_oracle,0.7716561589177218
0,22,nominal_physics,0.7716561589177218
0,22,calibrated_physics,0.7716561589177218
0,23,rk4_oracle,0.9318587837015002
