epsilon,sequence_index,method,horizon_steps,horizon_error_rad_s
0,0,rk4_oracle,10,0.0
0,0,rk4_oracle,50,0.0
0,0,rk4_oracle,100,0.0
0,0,rk4_oracle,200,0.0
0,0,nominal_physics,10,72.85859793040987
0,0,nominal_physics,50,222.74496965593175
0,0,nominal_physics,100,263.6285714898988
0,0,nominal_physics,200,233.77520480046465
0,0,calibrated_physics,10,3.979039320256561e-13
0,0,calibrated_physics,50,3.524291969370097e-12
0,0,calibrated_physics,100,2.0520474208751693e-11
0,0,calibrated_physics,200,8.29913915367797e-11
0,1,rk4_oracle,10,0.0
0,1,rk4_oracle,50,0.0
0,1,rk4_oracle,100,0.0
0,1,rk4_oracle,200,0.0
0,1,nominal_physics,10,80.89941625729494
0,1,nominal_physics,50,246.94580714867453
0,1,nominal_physics,100,291.5725152993037
0,1,nominal_physics,200,257.074699641712
0,1,calibrated_physics,10,2.6147972675971687e-12
0,1,calibrated_physics,50,2.8990143619012088e-12
0,1,calibrated_physics,100,1.6200374375330284e-11
0,1,calibrated_physics,200,1.035118657455314e-10
0,2,rk4_oracle,10,0.0
0,2,rk4_oracle,50,0.0
0,2,rk4_oracle,100,0.0
0,2,rk4_oracle,200,0.0
0,2,nominal_physics,10,84.70545854497885
0,2,nominal_physics,50,259.3087621653166
0,2,nominal_physics,100,307.53726610465543
0,2,nominal_physics,200,274.0604828964117
0,2,calibrated_physics,10,1.5916157281026244e-12
0,2,calibrated_physics,50,2.0463630789890885e-12
0,2,calibrated_physics,100,9.777068044058979e-12
0,2,calibrated_physics,200,6.338041202980094e-11
0,3,rk4_oracle,10,0.0
0,3,rk4_oracle,50,0.0
0,3,rk4_oracle,100,0.0
0,3,rk4_oracle,200,0.0
0,3,nominal_physics,10,78.75102054980766
0,3,nominal_physics,50,239.63972479032603
0,3,nominal_physics,100,281.58448928793985
0,3,nominal_physics,200,245.41777066630192
0,3,calibrated_physics,10,1.0800249583553523e-12
0,3,calibrated_physics,50,7.787548383930698e-12
0,3,calibrated_physics,100,2.0463630789890885e-11
0,3,calibrated_physics,200,5.678657544194721e-11
0,4,rk4_oracle,10,0.0
0,4,rk4_oracle,50,0.0
0,4,rk4_oracle,100,0.0
0,4,rk4_oracle,200,0.0
0,4,nominal_physics,10,75.76162292147251
0,4,nominal_physics,50,229.7655044207325
0,4,nominal_physics,100,268.57466487701186
0,4,nominal_physics,200,231.16600955194951
0,4,calibrated_physics,10,3.751665644813329e-12
0,4,calibrated_physics,50,7.16227077646181e-12
0,4,calibrated_physics,100,1.0459189070388675e-11
0,4,calibrated_physics,200,9.86233317235019e-11
0,5,rk4_oracle,10,0.0
0,5,rk4_oracle,50,0.0
0,5,rk4_oracle,100,0.0
0,5,rk4_oracle,200,0.0
0,5,nominal_physics,10,79.6450970274667
0,5,nominal_physics,50,241.36936844839644
0,5,nominal_physics,100,281.8224732187041
0,5,nominal_physics,200,241.90771912479144
0,5,calibrated_physics,10,1.5916157281026244e-12
0,5,calibrated_physics,50,7.332801033044234e-12
0,5,calibrated_physics,100,1.3358203432289883e-11
0,5,calibrated_physics,200,2.262368070660159e-11
0,6,rk4_oracle,10,0.0
0,6,rk4_oracle,50,0.0
0,6,rk4_oracle,100,0.0
0,6,rk4_oracle,200,0.0
0,6,nominal_physics,10,71.51182636741203
0,6,nominal_physics,50,216.1469157510854
0,6,nominal_physics,100,251.343774276244
0,6,nominal_physics,200,213.65979089764298
0,6,calibrated_physics,10,5.115907697472721e-13
0,6,calibrated_physics,50,5.229594535194337e-12
0,6,calibrated_physics,100,2.5295321393059567e-11
0,6,calibrated_physics,200,9.606537787476555e-11
0,7,rk4_oracle,10,0.0
0,7,rk4_oracle,50,0.0
0,7,rk4_oracle,100,0.0
0,7,rk4_oracle,200,0.0
0,7,nominal_physics,10,77.50010153219108
0,7,nominal_physics,50,236.10669327254266
0,7,nominal_physics,100,277.93107794216814
0,7,nominal_physics,200,243.27579879410996
0,7,calibrated_physics,10,2.1600499167107046e-12
0,7,calibrated_physics,50,2.1600499167107046e-12
0,7,calibrated_physics,100,1.4836132322670892e-11
0,7,calibrated_physics,200,9.055156624526717e-11
0,8,rk4_oracle,10,0.0
0,8,rk4_oracle,50,0.0
0,8,rk4_oracle,100,0.0
0,8,rk4_oracle,200,0.0
0,8,nominal_physics,10,75.7450431151562
0,8,nominal_physics,50,232.01348755569117
0,8,nominal_physics,100,275.4134214608717
0,8,nominal_physics,200,245.9604979574481
0,8,calibrated_physics,10,2.6147972675971687e-12
0,8,calibrated_physics,50,1.7621459846850485e-12
0,8,calibrated_physics,100,2.233946361229755e-11
0,8,calibrated_physics,200,1.2823875294998288e-10
0,9,rk4_oracle,10,0.0
0,9,rk4_oracle,50,0.0
0,9,rk4_oracle,100,0.0
0,9,rk4_oracle,200,0.0
0,9,nominal_physics,10,82.72503064171252
0,9,nominal_physics,50,252.5153796883446
0,9,nominal_physics,100,298.14352481948686
0,9,nominal_physics,200,262.8604386897244
0,9,calibrated_physics,10,5.115907697472721e-13
0,9,calibrated_physics,50,9.663381206337363e-12
0,9,calibrated_physics,100,4.519051799434237e-11
0,9,calibrated_physics,200,1.7257661966141313e-10
0,10,rk4_oracle,10,0.0
0,10,rk4_oracle,50,0.0
0,10,rk4_oracle,100,0.0
0,10,rk4_oracle,200,0.0
0,10,nominal_physics,10,75.850269899093
0,10,nominal_physics,50,232.50368073644367
0,10,nominal_physics,100,276.30427284762794
0,10,nominal_physics,200,247.41731502002656
0,10,calibrated_physics,10,2.8990143619012088e-12
0,10,calibrated_physics,50,2.7853275241795927e-12
0,10,calibrated_physics,100,2.0236257114447653e-11
0,10,calibrated_physics,200,1.2607870303327218e-10
0,11,rk4_oracle,10,0.0
0,11,rk4_oracle,50,0.0
0,11,rk4_oracle,100,0.0
0,11,rk4_oracle,200,0.0
0,11,nominal_physics,10,74.70741109090176
0,11,nominal_physics,50,224.331269422092
0,11,nominal_physics,100,258.2329461212492
0,11,nominal_physics,200,214.24323782604765
0,11,calibrated_physics,10,1.1368683772161603e-12
0,11,calibrated_physics,50,6.423306331271306e-12
0,11,calibrated_physics,100,1.4836132322670892e-11
0,11,calibrated_physics,200,3.40207861881936e-11
0,12,rk4_oracle,10,0.0
0,12,rk4_oracle,50,0.0
0,12,rk4_oracle,100,0.0
0,12,rk4_oracle,200,0.0
0,12,nominal_physics,10,68.17271759275212
0,12,nominal_physics,50,209.1501710741936
0,12,nominal_physics,100,248.8836652391607
0,12,nominal_physics,200,223.5758462717704
0,12,calibrated_physics,10,1.8758328224066645e-12
0,12,calibrated_physics,50,5.4001247917767614e-12
0,12,calibrated_physics,100,1.6484591469634324e-12
0,12,calibrated_physics,200,2.5778490453376435e-11
0,13,rk4_oracle,10,0.0
0,13,rk4_oracle,50,0.0
0,13,rk4_oracle,100,0.0
0,13,rk4_oracle,200,0.0
0,13,nominal_physics,10,76.04280949868206
0,13,nominal_physics,50,230.8529944874818
0,13,nominal_physics,100,270.2708386389188
0,13,nominal_physics,200,233.50515352353963
0,13,calibrated_physics,10,1.3073986337985843e-12
0,13,calibrated_physics,50,8.412825991399586e-12
0,13,calibrated_physics,100,2.091837814077735e-11
0,13,calibrated_physics,200,5.45981038158061e-11
0,14,rk4_oracle,10,0.0
0,14,rk4_oracle,50,0.0
0,14,rk4_oracle,100,0.0
0,14,rk4_oracle,200,0.0
0,14,nominal_physics,10,69.53082153775387
0,14,nominal_physics,50,212.73560299944992
0,14,nominal_physics,100,252.08217950505193
0,14,nominal_physics,200,224.16793295388854
0,14,calibrated_physics,10,0.0
0,14,calibrated_physics,50,1.3642420526593924e-12
0,14,calibrated_physics,100,5.9685589803848416e-12
0,14,calibrated_physics,200,2.4101609596982598e-11
0,15,rk4_oracle,10,0.0
0,15,rk4_oracle,50,0.0
0,15,rk4_oracle,100,0.0
0,15,rk4_oracle,200,0.0
0,15,nominal_physics,10,84.52069082357673
0,15,nominal_physics,50,258.5356202945422
0,15,nominal_physics,100,306.2382118253456
0,15,nominal_physics,200,272.08374353881993
0,15,calibrated_physics,10,7.389644451905042e-13
0,15,calibrated_physics,50,3.353761712787673e-12
0,15,calibrated_physics,100,5.8548721426632255e-12
0,15,calibrated_physics,200,1.000444171950221e-11
0,16,rk4_oracle,10,0.0
0,16,rk4_oracle,50,0.0
0,16,rk4_oracle,100,0.0
0,16,rk4_oracle,200,0.0
0,16,nominal_physics,10,74.62260930653139
0,16,nominal_physics,50,228.27756919883083
0,16,nominal_physics,100,270.43106040173797
0,16,nominal_physics,200,240.34046615158027
0,16,calibrated_physics,10,2.4442670110147446e-12
0,16,calibrated_physics,50,5.8548721426632255e-12
0,16,calibrated_physics,100,2.8421709430404007e-12
0,16,calibrated_physics,200,5.1670667744474486e-11
0,17,rk4_oracle,10,0.0
0,17,rk4_oracle,50,0.0
0,17,rk4_oracle,100,0.0
0,17,rk4_oracle,200,0.0
0,17,nominal_physics,10,85.48719713309833
0,17,nominal_physics,50,261.4953228241599
0,17,nominal_physics,100,309.7504538889566
0,17,nominal_physics,200,275.21962999668244
0,17,calibrated_physics,10,0.0
0,17,calibrated_physics,50,7.958078640513122e-13
0,17,calibrated_physics,100,4.263256414560601e-12
0,17,calibrated_physics,200,1.6143530956469476e-11
0,18,rk4_oracle,10,0.0
0,18,rk4_oracle,50,0.0
0,18,rk4_oracle,100,0.0
0,18,rk4_oracle,200,0.0
0,18,nominal_physics,10,81.54306171068782
0,18,nominal_physics,50,246.13779451560626
0,18,nominal_physics,100,285.6289825049981
0,18,nominal_physics,200,241.6107939142239
0,18,calibrated_physics,10,2.2737367544323206e-12
0,18,calibrated_physics,50,3.694822225952521e-12
0,18,calibrated_physics,100,9.208633855450898e-12
0,18,calibrated_physics,200,6.929212759132497e-11
0,19,rk4_oracle,10,0.0
0,19,rk4_oracle,50,0.0
0,19,rk4_oracle,100,0.0
0,19,rk4_oracle,200,0.0
0,19,nominal_physics,10,81.92151100032157
0,19,nominal_physics,50,250.37234143569054
0,19,nominal_physics,100,296.1801445834525
0,19,nominal_physics,200,262.3290459522124
0,19,calibrated_physics,10,1.7053025658242404e-12
0,19,calibrated_physics,50,1.1198153515579179e-11
0,19,calibrated_physics,100,2.7284841053187847e-11
0,19,calibrated_physics,200,7.133849067031406e-11
0,20,rk4_oracle,10,0.0
0,20,rk4_oracle,50,0.0
0,20,rk4_oracle,100,0.0
0,20,rk4_oracle,200,0.0
0,20,nominal_physics,10,73.80784546187266
0,20,nominal_physics,50,223.3402290942469
0,20,nominal_physics,100,260.16452546891065
0,20,nominal_physics,200,222.08907246687457
0,20,calibrated_physics,10,9.094947017729282e-13
0,20,calibrated_physics,50,9.947598300641403e-12
0,20,calibrated_physics,100,3.291233952040784e-11
0,20,calibrated_physics,200,1.0371081771154422e-10
0,21,rk4_oracle,10,0.0
0,21,rk4_oracle,50,0.0
0,21,rk4_oracle,100,0.0
0,21,rk4_oracle,200,0.0
0,21,nominal_physics,10,76.03598357571525
0,21,nominal_physics,50,230.6893340144793
0,21,nominal_physics,100,269.82086769948205
0,21,nominal_physics,200,232.5836098232616
0,21,calibrated_physics,10,0.0
0,21,calibrated_physics,50,1.4210854715202004e-12
0,21,calibrated_physics,100,6.934897101018578e-12
0,21,calibrated_physics,200,2.6147972675971687e-11
0,22,rk4_oracle,10,0.0
0,22,rk4_oracle,50,0.0
0,22,rk4_oracle,100,0.0
0,22,rk4_oracle,200,0.0
0,22,nominal_physics,10,80.07766113892853
0,22,nominal_physics,50,243.23091550730624
0,22,nominal_physics,100,284.99811395594577
0,22,nominal_physics,200,246.72867627144154
0,22,calibrated_physics,10,7.389644451905042e-13
0,22,calibrated_physics,50,1.1368683772161603e-13
0,22,calibrated_physics,100,6.991740519879386e-12
0,22,calibrated_physics,200,3.6550318327499554e-11
0,23,rk4_oracle,10,0.0
0,23,rk4_oracle,50,0.0
0,23,rk4_oracle,100,0.0
0,23,rk4_oracle,200,0.0
0,23,nominal_physics,10,65.09120501787328
0,23,nominal_physics,50,195.25023478225745
0,23,nominal_physics,100,224.39475106111874
0,23,nominal_physics,200,185.4602127451633
0,23,calibrated_physics,10,1.7053025658242404e-13
