epsilon,method,seed,best_gradient_step,best_validation_trajectory_rmse_rad_s
0.0,gru_residual_seed7,7,1000,0.07157925242185581
0.0,gru_residual_seed19,19,1000,0.0715131956624308
0.0,gru_residual_seed31,31,1000,0.06330216379976922
0.0,jepa_residual_seed7,7,400,0.3304629373021278
0.0,jepa_residual_seed19,19,925,0.5878961459409141
0.0,jepa_residual_seed31,31,500,0.4310850602713215
0.1,gru_residual_seed7,7,1000,0.07386776779237994
0.1,gru_residual_seed19,19,1000,0.07222490649781584
0.1,gru_residual_seed31,31,1000,0.06540194120307416
0.1,jepa_residual_seed7,7,350,0.3126939406407687
0.1,jepa_residual_seed19,19,200,0.5618887408333704
0.1,jepa_residual_seed31,31,575,0.40855656872932106
0.2,gru_residual_seed7,7,975,0.08099288267658795
0.2,gru_residual_seed19,19,1000,0.07754721621833284
0.2,gru_residual_seed31,31,1000,0.07235172031493348
0.2,jepa_residual_seed7,7,350,0.30977987269261764
0.2,jepa_residual_seed19,19,925,0.5344899808889421
0.2,jepa_residual_seed31,31,450,0.366738651408959
0.5,gru_residual_seed7,7,1000,0.13400387762665905
0.5,gru_residual_seed19,19,1000,0.14067042409876548
0.5,gru_residual_seed31,31,1000,0.14151528950791384
0.5,jepa_residual_seed7,7,975,0.4038950283745651
0.5,jepa_residual_seed19,19,1000,0.5729676721278263
0.5,jepa_residual_seed31,31,625,0.5403159103760947
