epsilon,method,control_delta,endpoint_control_sensitivity_rmse_rad_s_per_control
0.0,nominal_physics,0.001,0.11377334024733618
0.0,calibrated_physics,0.001,31.785465076413168
0.0,gru_residual_seed7,0.001,31.755198535569836
0.0,gru_residual_seed19,0.001,31.709567984283073
0.0,gru_residual_seed31,0.001,31.68492014739663
0.0,jepa_residual_seed7,0.001,32.195750894404945
0.0,jepa_residual_seed19,0.001,31.892096046650725
0.0,jepa_residual_seed31,0.001,31.985846554316264
0.1,nominal_physics,0.001,0.1142966833045558
0.1,calibrated_physics,0.001,31.78146905457811
0.1,gru_residual_seed7,0.001,31.71738002628307
0.1,gru_residual_seed19,0.001,31.674504520314436
0.1,gru_residual_seed31,0.001,31.65243144545604
0.1,jepa_residual_seed7,0.001,32.18447891613488
0.1,jepa_residual_seed19,0.001,30.35012164892458
0.1,jepa_residual_seed31,0.001,32.023554604444364
0.2,nominal_physics,0.001,0.11522125989660599
0.2,calibrated_physics,0.001,31.777177318695852
0.2,gru_residual_seed7,0.001,31.671327139078606
0.2,gru_residual_seed19,0.001,31.62887025992683
0.2,gru_residual_seed31,0.001,31.61043980943987
0.2,jepa_residual_seed7,0.001,32.27937167025671
0.2,jepa_residual_seed19,0.001,31.85159344788841
0.2,jepa_residual_seed31,0.001,31.87194243203581
0.5,nominal_physics,0.001,0.1222997560597087
0.5,calibrated_physics,0.001,31.752280886388625
0.5,gru_residual_seed7,0.001,31.406430679736623
0.5,gru_residual_seed19,0.001,31.378023157742902
0.5,gru_residual_seed31,0.001,31.361766122074528
0.5,jepa_residual_seed7,0.001,31.735466509990623
0.5,jepa_residual_seed19,0.001,31.562095660891615
0.5,jepa_residual_seed31,0.001,31.533704038313857
