model,seed,gradient_step,train_loss,validation_trajectory_rmse_rad_s,epsilon
gru_residual,7,1,0.004522896925383031,34.23058859308946,0.0
gru_residual,7,25,4.528433786953963e-05,3.7464117849917398,0.0
gru_residual,7,50,4.763529523264532e-06,1.236647142242723,0.0
gru_residual,7,75,1.1937421631475005e-06,0.6302033944461061,0.0
gru_residual,7,100,6.89801460234078e-07,0.49020306889573284,0.0
gru_residual,7,125,4.899692649946747e-07,0.42009731270748,0.0
gru_residual,7,150,3.75026769475408e-07,0.3725811609459371,0.0
gru_residual,7,175,2.993844462730352e-07,0.3365175056681187,0.0
gru_residual,7,200,2.4642232549142096e-07,0.3079762310010843,0.0
gru_residual,7,225,2.076226544152699e-07,0.2846827088927289,0.0
gru_residual,7,250,1.7808871294304388e-07,0.26513821816858096,0.0
gru_residual,7,275,1.5486588535884576e-07,0.24833649804344454,0.0
gru_residual,7,300,1.3610703333280295e-07,0.233612193084483,0.0
gru_residual,7,325,1.2061960713932597e-07,0.22050797303076775,0.0
gru_residual,7,350,1.0760799434067904e-07,0.20870481635870114,0.0
gru_residual,7,375,9.652191950746263e-08,0.19797317223942054,0.0
gru_residual,7,400,8.69693957786497e-08,0.18814390496204011,0.0
gru_residual,7,425,7.866096244860244e-08,0.17908625817598292,0.0
gru_residual,7,450,7.137827619606714e-08,0.17070015406236683,0.0
gru_residual,7,475,6.495294582200475e-08,0.1629032284820429,0.0
gru_residual,7,500,5.9252166079382624e-08,0.1556296103912151,0.0
gru_residual,7,525,5.416976089947281e-08,0.14882414462277113,0.0
gru_residual,7,550,4.961980721459247e-08,0.14244120620425937,0.0
gru_residual,7,575,4.553188473229532e-08,0.13644144654318932,0.0
gru_residual,7,600,4.184731755285571e-08,0.1307908829581509,0.0
gru_residual,7,625,3.851730894533199e-08,0.1254610169018784,0.0
gru_residual,7,650,3.550027480593918e-08,0.12042648529907121,0.0
gru_residual,7,675,3.276093682147407e-08,0.11566437426453603,0.0
gru_residual,7,700,3.026881274961232e-08,0.11115456948056357,0.0
gru_residual,7,725,2.9270593700565255e-08,0.11021779462533655,0.0
gru_residual,7,750,2.594779608308056e-08,0.10286753410486967,0.0
gru_residual,7,775,2.4030408807878828e-08,0.09899056343948066,0.0
gru_residual,7,800,2.229413971376284e-08,0.09530934588094554,0.0
gru_residual,7,825,2.0703079763398925e-08,0.09182562769013626,0.0
gru_residual,7,850,1.924296645868901e-08,0.08850883638626976,0.0
gru_residual,7,875,1.790111573028387e-08,0.08534859335206504,0.0
gru_residual,7,900,1.666640914582879e-08,0.08233490178418627,0.0
gru_residual,7,925,1.5529042136914524e-08,0.07945908404433492,0.0
gru_residual,7,950,1.49465515222825e-08,0.07867775398700844,0.0
gru_residual,7,975,1.3952956395160425e-08,0.07490881056082674,0.0
gru_residual,7,1000,1.2627793853173479e-08,0.07157925242185581,0.0
gru_residual,19,1,0.0047561887886327205,34.25948629666487,0.0
gru_residual,19,25,3.860660730229436e-05,3.4095338574045426,0.0
gru_residual,19,50,4.76973931374949e-06,1.2157991497343548,0.0
gru_residual,19,75,1.4818144795895684e-06,0.6906307710459367,0.0
gru_residual,19,100,9.004410100168867e-07,0.5456105858111818,0.0
gru_residual,19,125,6.40309184798334e-07,0.4650544776974129,0.0
gru_residual,19,150,4.820726102263237e-07,0.4067192683047769,0.0
gru_residual,19,175,3.749842635174877e-07,0.3616733601589135,0.0
gru_residual,19,200,2.9890261196810387e-07,0.3253236789646375,0.0
gru_residual,19,225,2.430254659766435e-07,0.29540246041878593,0.0
