variant,seed,test_rmse_rad_s,final_latent_loss,epochs
context_probe,7,27.89946937561035,1.5767394870636053e-05,180
context_probe,17,25.20520782470703,8.096345482044853e-06,180
context_probe,27,26.148305892944336,7.540928436355898e-06,180
predicted_latent_probe,7,31.95149040222168,1.5767394870636053e-05,180
predicted_latent_probe,17,29.078447341918945,8.096345482044853e-06,180
predicted_latent_probe,27,31.57110595703125,7.540928436355898e-06,180
action_conditioned_latent_probe,7,28.30480194091797,3.992732217739103e-06,180
action_conditioned_latent_probe,17,31.08771514892578,4.210526185488561e-06,180
action_conditioned_latent_probe,27,31.54921531677246,4.065085704496596e-06,180
direct_endpoint_probe,7,27.89946937561035,1.5767394870636053e-05,180
direct_endpoint_probe,17,25.20520782470703,8.096345482044853e-06,180
direct_endpoint_probe,27,26.148305892944336,7.540928436355898e-06,180
physics_residual_probe,7,1.982840876212938,1.5767394870636053e-05,180
physics_residual_probe,17,1.8846567934250558,8.096345482044853e-06,180
physics_residual_probe,27,0.9593895119013286,7.540928436355898e-06,180
physics_residual_mlp,7,0.457391381783983,1.5767394870636053e-05,180
physics_residual_mlp,17,0.44194728139698547,8.096345482044853e-06,180
physics_residual_mlp,27,0.4588180049418253,7.540928436355898e-06,180
nominal_analytical,,0.46068791936863057,,
true_parameter_oracle,,3.271597884907033e-05,,
