configuration,seed,epsilon,ode_weight,latent_variance_weight,best_gradient_step,best_validation_rmse_rad_s,full_trajectory_rmse_rad_s,endpoint_rmse_rad_s,ode_residual_rmse_N_m,latent_effective_rank,control_sensitivity_rmse_rad_s_per_control
baseline,7,0.5,0.0,0.0,975,0.4038950283745651,0.38735185819706547,0.48319299428509604,0.946976299629591,1.4223573207855225,31.735466509990623
baseline,19,0.5,0.0,0.0,1000,0.5729676721278263,0.5603678023698917,0.5991265899953903,1.4431085039411125,1.237391710281372,31.562095660891615
baseline,31,0.5,0.0,0.0,625,0.5403159103760947,0.5320827923908743,0.36091508269566713,1.3374592025301488,1.235265851020813,31.533704038313857
ode_regularized,7,0.5,0.05,0.0,1000,0.8140942488526515,0.834666711579205,0.6188819922538169,0.17708630945662385,1.2429053783416748,29.908716464141353
ode_regularized,19,0.5,0.05,0.0,1000,1.283923342601605,1.3229510106196407,1.4219227191209172,0.16380801151558416,1.2269139289855957,31.99528661458064
ode_regularized,31,0.5,0.05,0.0,1000,2.8235200493967816,2.833946917114963,1.8121440924542278,0.2639968261714115,1.3003430366516113,34.20408688642589
latent_variance_regularized,7,0.5,0.0,0.01,725,0.3722644428023732,0.35052384873441383,0.5083789481309893,0.8093773259029524,1.4031623601913452,31.865755537517764
latent_variance_regularized,19,0.5,0.0,0.01,525,0.48955291790415767,0.4752280731468833,0.45254279682017495,1.2041780402766145,1.3078382015228271,31.841274026173757
latent_variance_regularized,31,0.5,0.0,0.01,700,0.46811053697602156,0.4599725919627546,0.5220662469549607,1.166109727684777,1.2435766458511353,31.65499515831744
combined_regularization,7,0.5,0.05,0.01,1000,0.8140746481554489,0.8346511730163939,0.6190576078997791,0.17705764367013196,1.242828369140625,29.90989106501675
combined_regularization,19,0.5,0.05,0.01,1000,1.283836780127226,1.3228672884251722,1.4221574715793133,0.16384090150141156,1.2268909215927124,31.994125255531248
combined_regularization,31,0.5,0.05,0.01,1000,2.8235314913930325,2.833959032361833,1.8121196297258586,0.2640098109174278,1.300328016281128,34.20170968888655
