train_horizon,seed,epoch,train_latent_loss,test_latent_loss
1,7,1,0.24515393376350403,0.16245537996292114
1,7,60,0.00020372016297187656,0.00024823739659041166
1,7,120,5.424187475000508e-05,6.948796362848952e-05
1,7,180,2.4324019250343554e-05,3.1056759326020256e-05
1,7,240,1.3067566214886028e-05,1.6487640095874667e-05
1,7,300,8.199291187338531e-06,1.0236535672447644e-05
1,7,360,5.573919679591199e-06,6.894721536809811e-06
1,7,420,4.048211849294603e-06,4.975247520633275e-06
1,7,480,3.146333256154321e-06,3.8554576349270064e-06
1,7,540,2.5912236196745653e-06,3.174307039444102e-06
1,7,600,2.22242215386359e-06,2.725072363318759e-06
1,7,660,1.9529843484633602e-06,2.3973607312655076e-06
1,7,720,1.7382794794684742e-06,2.1355047010729322e-06
1,17,1,0.4004996716976166,0.2812957465648651
1,17,60,0.00038587689050473273,0.0005013364716432989
1,17,120,0.0001357287837890908,0.00017736555309966207
1,17,180,6.833812949480489e-05,9.02320389286615e-05
1,17,240,4.295158214517869e-05,5.6795292039169e-05
1,17,300,3.068309888476506e-05,4.042002547066659e-05
1,17,360,2.3352919015451334e-05,3.062365431105718e-05
1,17,420,1.825733488658443e-05,2.383637911407277e-05
1,17,480,1.440321921108989e-05,1.8723330867942423e-05
1,17,540,1.1402778000046965e-05,1.4755719348613638e-05
1,17,600,9.058798241312616e-06,1.1663430086628068e-05
1,17,660,7.233920769067481e-06,9.260450497095007e-06
1,17,720,5.817224973725388e-06,7.3986861934827175e-06
1,27,1,0.18983770906925201,0.12377456575632095
1,27,60,0.0002814118342939764,0.000331273942720145
1,27,120,5.3107989515410736e-05,6.882305751787499e-05
1,27,180,2.083810068143066e-05,2.6926445571007207e-05
1,27,240,1.0953383025480434e-05,1.4166239452606533e-05
1,27,300,6.709800800308585e-06,8.707712368050124e-06
1,27,360,4.496241217566421e-06,5.855915333086159e-06
1,27,420,3.2117002319864696e-06,4.19731622969266e-06
1,27,480,2.443275661789812e-06,3.2033292427513516e-06
1,27,540,1.9737078673642827e-06,2.594358420537901e-06
1,27,600,1.671654558776936e-06,2.201050392613979e-06
1,27,660,1.460709654566017e-06,1.925014885273413e-06
1,27,720,1.3005862911086297e-06,1.714585664558399e-06
10,7,1,0.343257337808609,0.17601627111434937
10,7,60,0.0007448948454111814,0.0008702579070813954
10,7,120,0.0003611028951127082,0.0004399059107527137
10,7,180,0.00030034754308871925,0.0003575648879632354
10,7,240,0.0003132031997665763,0.00036000204272568226
10,7,300,0.0003086139040533453,0.00034918487654067576
10,7,360,0.00026152440113946795,0.00029787354287691414
10,7,420,0.00020034622866660357,0.0002329532289877534
10,7,480,0.00015436572721228004,0.00018314366752747446
10,7,540,0.0001288778439629823,0.00015358746168203652
10,7,600,0.0001137279105023481,0.00013438769383355975
10,7,660,0.00010085723624797538,0.00011766129318857566
10,7,720,8.867066208040342e-05,0.00010200079123023897
10,17,1,0.26447197794914246,0.2087811380624771
10,17,60,0.0007938232738524675,0.000911087729036808
10,17,120,0.0003675590269267559,0.00045003637205809355
10,17,180,0.00026150268968194723,0.0003189868002664298
10,17,240,0.00020792761642951518,0.0002507268509361893
10,17,300,0.0001722051529213786,0.00020571393542923033
10,17,360,0.0001402728375978768,0.0001674092491157353
10,17,420,0.00011592076043598354,0.00013836512516718358
10,17,480,9.886808402370661e-05,0.00011777255713241175
10,17,540,8.751098357606679e-05,0.0001038577756844461
10,17,600,8.19844935904257e-05,9.661411604611203e-05
10,17,660,7.93039143900387e-05,9.276557102566585e-05
10,17,720,0.00011335487943142653,9.875321120489389e-05
10,27,1,0.36155056953430176,0.27323195338249207
10,27,60,0.0006513564730994403,0.0007781874155625701
10,27,120,0.0003468442300800234,0.00042622105684131384
10,27,180,0.00023759095347486436,0.00029204186284914613
10,27,240,0.00017479558300692588,0.00021384991123341024
10,27,300,0.0001357616565655917,0.00016533018788322806
10,27,360,0.00010975753684761003,0.00013338259304873645
10,27,420,9.091546962736174e-05,0.00011057934170821682
10,27,480,7.637885573785752e-05,9.320987737737596e-05
10,27,540,6.470829976024106e-05,7.93601866462268e-05
10,27,600,5.5084012274164706e-05,6.794192449888214e-05
10,27,660,4.700026329373941e-05,5.8303721743868664e-05
10,27,720,4.013660145574249e-05,5.005387356504798e-05
