configuration,seed,target_normalization,loss,ema,endpoint_rmse_rad_s,endpoint_r2,skill_vs_persistence,rmse_ci95_low_rad_s,rmse_ci95_high_rad_s,effective_rank
norm_0_loss_l2_ema_fixed,7,False,l2,fixed,22.080403382444306,0.544942302099751,-145.16285510405834,18.951792082316324,24.88079091460685,1.272718906402588
norm_0_loss_l2_ema_fixed,17,False,l2,fixed,18.36974508034368,0.6850375948141263,-100.1647635120324,15.631976740197592,20.901272250243682,1.2491569519042969
norm_0_loss_l2_ema_fixed,27,False,l2,fixed,26.35993529691595,0.3514534716636587,-207.31075418977736,22.626524377761154,29.648834391451373,1.082299828529358
norm_0_loss_l2_ema_scheduled,7,False,l2,scheduled,27.14796726458149,0.3120971752996279,-219.9518515043187,23.061593198494396,30.826855467663076,1.3443082571029663
norm_0_loss_l2_ema_scheduled,17,False,l2,scheduled,28.609644706387677,0.2360280944260491,-244.3849598704165,24.324164368188875,32.5203585469364,1.2404052019119263
norm_0_loss_l2_ema_scheduled,27,False,l2,scheduled,31.414134237870424,0.07890876520478962,-294.85110923340966,25.799905309355072,36.805929585016486,1.0624885559082031
norm_0_loss_l1_ema_fixed,7,False,l1,fixed,2.597750535885718,0.993701351901614,-1.0231025507399454,1.882051533881016,3.2706830384098304,1.9549648761749268
norm_0_loss_l1_ema_fixed,17,False,l1,fixed,7.623506824945786,0.945754708669889,-16.423387612922973,5.728370703830475,9.459688644233518,1.9946777820587158
norm_0_loss_l1_ema_fixed,27,False,l1,fixed,6.558588933748179,0.9598511340266432,-11.895667751438326,5.069330560526637,7.984466763936662,1.886313796043396
norm_0_loss_l1_ema_scheduled,7,False,l1,scheduled,23.94988879528053,0.4646233060255265,-170.9610205663064,20.51016596228413,26.9831823194454,1.525932788848877
norm_0_loss_l1_ema_scheduled,17,False,l1,scheduled,20.389914085553894,0.6119539645028729,-123.63895616266167,17.489461356884558,22.97545866890794,1.728210687637329
norm_0_loss_l1_ema_scheduled,27,False,l1,scheduled,7.545338389858626,0.946861425199299,-16.06791434332261,6.458656686927515,8.526240087549356,1.5426366329193115
norm_1_loss_l2_ema_fixed,7,True,l2,fixed,28.57233562780538,0.23801934619388776,-243.74537714286075,24.484197992556417,32.17948181903439,1.059014081954956
norm_1_loss_l2_ema_fixed,17,True,l2,fixed,29.895641429384643,0.16580379282472246,-266.9407466796496,25.137864515158174,34.23889193754549,1.0642504692077637
norm_1_loss_l2_ema_fixed,27,True,l2,fixed,26.83502569644399,0.32786503230880304,-214.88727395741,22.95805264971955,30.36795655172615,1.0338258743286133
norm_1_loss_l2_ema_scheduled,7,True,l2,scheduled,26.70717615339765,0.3342542526583162,-212.83507993348093,22.907387653803877,30.106015367259612,1.052186369895935
norm_1_loss_l2_ema_scheduled,17,True,l2,scheduled,28.95208171069336,0.21763024927464836,-250.29427991378506,24.182745933836355,33.39253295566566,1.0471372604370117
norm_1_loss_l2_ema_scheduled,27,True,l2,scheduled,26.233824982098362,0.3576441364943791,-205.322335466557,22.25103434419057,29.891651762505134,1.0347009897232056
norm_1_loss_l1_ema_fixed,7,True,l1,fixed,29.500796930067285,0.18769344975173063,-259.90986956568594,25.131938259056476,33.446336247488055,1.12014639377594
norm_1_loss_l1_ema_fixed,17,True,l1,fixed,31.305099092299947,0.08529168970992118,-292.8009374114879,26.100785102304112,35.96033978425629,1.1278140544891357
norm_1_loss_l1_ema_fixed,27,True,l1,fixed,30.677643625002894,0.12159165056218169,-281.14152379687636,25.549266553379354,35.280726100291396,1.0884652137756348
norm_1_loss_l1_ema_scheduled,7,True,l1,scheduled,27.554558356361138,0.29133763670732515,-226.61973877508623,23.599015023454236,31.04433414699166,1.0823369026184082
norm_1_loss_l1_ema_scheduled,17,True,l1,scheduled,28.945779012492597,0.2179708467999124,-250.18488124420168,24.786076107084003,32.61157987294944,1.0872119665145874
norm_1_loss_l1_ema_scheduled,27,True,l1,scheduled,27.68683774975136,0.2845172452834449,-228.81042335869282,23.767469979018138,31.187370640959664,1.0545490980148315
